"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"the paradise","20K+","September 24, 2026 at 2:00:00 AM UTC","September 26, 2026 at 6:30:00 PM UTC","the paradise,paradise movie,paradise nani,movie box office","https://trends.google.com/trends/explore?q=the%20paradise&geo=BD&hl=en-US"
"সংবাদ","1K+","September 26, 2026 at 1:50:00 PM UTC",,"সংবাদ","https://trends.google.com/trends/explore?q=%E0%A6%B8%E0%A6%82%E0%A6%AC%E0%A6%BE%E0%A6%A6&geo=BD&hl=en-US"
"portugal vs wales","100K+","September 24, 2026 at 6:10:00 PM UTC","September 26, 2026 at 12:30:00 PM UTC","portugal vs wales,portugal national football team vs wales national football team standings,portugal vs,portugal match,portugal national football team,portugal today match,portugal match today,joão félix,portugal vs wales 2026,portugal national football team vs wales national football team lineups,por vs wales,portugal football","https://trends.google.com/trends/explore?q=portugal%20vs%20wales&geo=BD&hl=en-US"
"slovenia national football team vs scotland national football team standings","5K+","September 26, 2026 at 3:20:00 PM UTC",,"slovenia national football team vs scotland national football team standings,slovenia vs scotland,today football match","https://trends.google.com/trends/explore?q=slovenia%20national%20football%20team%20vs%20scotland%20national%20football%20team%20standings&geo=BD&hl=en-US"
"friendlies","100K+","September 23, 2026 at 4:20:00 PM UTC","September 26, 2026 at 5:40:00 PM UTC","friendlies,norway vs denmark,norway national football team vs denmark national football team standings,norway,norway national football team,oscar bobb,rasmus højlund","https://trends.google.com/trends/explore?q=friendlies&geo=BD&hl=en-US"
"san marino vs finland","1K+","September 26, 2026 at 3:50:00 PM UTC",,"san marino vs finland","https://trends.google.com/trends/explore?q=san%20marino%20vs%20finland&geo=BD&hl=en-US"
"সোনার দাম","5K+","September 26, 2026 at 1:50:00 PM UTC",,"সোনার দাম,সোনা,ভরি,আজকের সোনার দাম,আজকের স্বর্ণের দাম ২২ ক্যারেট ভরি","https://trends.google.com/trends/explore?q=%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0%20%E0%A6%A6%E0%A6%BE%E0%A6%AE&geo=BD&hl=en-US"
"morocco vs gabon","10K+","September 25, 2026 at 6:30:00 PM UTC","September 26, 2026 at 4:10:00 PM UTC","morocco vs gabon","https://trends.google.com/trends/explore?q=morocco%20vs%20gabon&geo=BD&hl=en-US"
"শাহরুখ খান","5K+","September 26, 2026 at 5:40:00 AM UTC","September 26, 2026 at 3:30:00 PM UTC","শাহরুখ খান","https://trends.google.com/trends/explore?q=%E0%A6%B6%E0%A6%BE%E0%A6%B9%E0%A6%B0%E0%A7%81%E0%A6%96%20%E0%A6%96%E0%A6%BE%E0%A6%A8&geo=BD&hl=en-US"
"cabo verde","500+","September 26, 2026 at 1:40:00 PM UTC",,"cabo verde","https://trends.google.com/trends/explore?q=cabo%20verde&geo=BD&hl=en-US"
"netherlands vs germany","50K+","September 24, 2026 at 6:00:00 PM UTC","September 25, 2026 at 4:00:00 PM UTC","netherlands vs germany,jamal musiala,germany vs netherlands,germany vs,germany football","https://trends.google.com/trends/explore?q=netherlands%20vs%20germany&geo=BD&hl=en-US"
"italy vs belgium","10K+","September 25, 2026 at 6:00:00 PM UTC","September 26, 2026 at 5:30:00 PM UTC","italy vs belgium,italy national football team vs belgium national football team standings","https://trends.google.com/trends/explore?q=italy%20vs%20belgium&geo=BD&hl=en-US"
"ইংল্যান্ড বনাম স্পেন","200+","September 26, 2026 at 6:20:00 PM UTC",,"ইংল্যান্ড বনাম স্পেন","https://trends.google.com/trends/explore?q=%E0%A6%87%E0%A6%82%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%20%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%AE%20%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A7%87%E0%A6%A8&geo=BD&hl=en-US"
"বাংলাদেশ বনাম মালয়েশিয়া","50K+","September 25, 2026 at 1:10:00 AM UTC","September 26, 2026 at 3:50:00 AM UTC","বাংলাদেশ বনাম মালয়েশিয়া,বাংলাদেশ বনাম মালয়েশিয়া ফুটবল খেলা,বাংলাদেশের খেলা,বাংলাদেশ vs মালয়েশিয়া,ফুটবল ম্যাচ,বাংলাদেশ ফুটবল,বাংলাদেশের ফুটবল খেলা,বাংলাদেশ মালয়েশিয়া,বাংলাদেশ বনাম মালয়েশিয়া লাইভ,বাংলাদেশ বনাম মালেশিয়া,বাংলাদেশ বনাম মালয়েশিয়া ফুটবল,বাংলাদেশ বনাম মালয়েশিয়া ২০২৬,বাংলাদেশ বনাম মালোশিয়া,বাংলাদেশ বনাম মালয়েশিয়া 2026,বাংলাদেশ বনাম,বাংলাদেশ ফুটবল খেলা,বাংলাদেশ ভার্সেস মালয়েশিয়ার খেলা,বাংলাদেশ বনাম মালয়েশিয়া ফুটবল খেলা লাইভ,বাংলাদেশ বনাম মালয়েশিয়ার খেলা,বাংলাদেশ ভার্সেস মালয়েশিয়া ফুটবল,bangladesh banam malaysia khela,বাংলাদেশ বনাম মালয়েশিয়া ফুটবল লাইভ,বাংলাদেশ খেলা,বাংলাদেশ আর মালয়েশিয়ার খেলা,বাংলাদেশ ভার্সেস মালয়েশিয়া লাইভ,বাংলাদেশ vs মালয়েশিয়া ফুটবল,বাংলাদেশ বনাম মালয়েশিয়া আজকের খেলা","https://trends.google.com/trends/explore?q=%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%20%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%AE%20%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE&geo=BD&hl=en-US"
"xiaomi 18 pro max","20K+","September 21, 2026 at 6:50:00 AM UTC","September 25, 2026 at 2:50:00 PM UTC","xiaomi 18 pro max,xiaomi 18 pro","https://trends.google.com/trends/explore?q=xiaomi%2018%20pro%20max&geo=BD&hl=en-US"
"south africa vs australia","50K+","September 24, 2026 at 7:10:00 AM UTC","September 25, 2026 at 2:10:00 PM UTC","south africa vs australia,sa vs aus,south africa national cricket team vs australia national cricket team match scorecard,matthew breetzke,aus vs sa,south africa cricket,jack edwards,temba bavuma,bjorn fortuin,mitchell marsh,mitchell starc,australia vs south africa","https://trends.google.com/trends/explore?q=south%20africa%20vs%20australia&geo=BD&hl=en-US"
"south africa vs guinea","2K+","September 26, 2026 at 12:50:00 PM UTC","September 26, 2026 at 5:00:00 PM UTC","south africa vs guinea","https://trends.google.com/trends/explore?q=south%20africa%20vs%20guinea&geo=BD&hl=en-US"
"asian games men","20K+","September 22, 2026 at 10:30:00 AM UTC","September 26, 2026 at 6:00:00 PM UTC","asian games men,malaysia vs oman,cricket live,cricket","https://trends.google.com/trends/explore?q=asian%20games%20men&geo=BD&hl=en-US"
"chatgpt","10K+","September 26, 2026 at 3:40:00 PM UTC","September 26, 2026 at 5:30:00 PM UTC","chatgpt","https://trends.google.com/trends/explore?q=chatgpt&geo=BD&hl=en-US"
"sri lanka vs england","50K+","September 24, 2026 at 11:40:00 AM UTC","September 25, 2026 at 5:30:00 AM UTC","sri lanka vs england,england vs sri lanka,sl vs eng,sri lanka national cricket team vs england cricket team match scorecard,kusal mendis,kamindu mendis,eng vs sl,tom banton,sachindu colombage,jos buttler,will jacks,rehan ahmed,dunith wellalage,eng vs sri","https://trends.google.com/trends/explore?q=sri%20lanka%20vs%20england&geo=BD&hl=en-US"
"nepal vs japan","5K+","September 26, 2026 at 1:20:00 AM UTC","September 26, 2026 at 8:50:00 AM UTC","nepal vs japan,nepal cricket,japan vs nepal","https://trends.google.com/trends/explore?q=nepal%20vs%20japan&geo=BD&hl=en-US"
"afghanistan vs nepal","20K+","September 25, 2026 at 4:50:00 AM UTC","September 25, 2026 at 1:50:00 PM UTC","afghanistan vs nepal,afg vs nep,hong kong vs oman","https://trends.google.com/trends/explore?q=afghanistan%20vs%20nepal&geo=BD&hl=en-US"
"শিক্ষাপ্রতিষ্ঠান","2K+","September 26, 2026 at 12:10:00 AM UTC","September 26, 2026 at 3:50:00 PM UTC","শিক্ষাপ্রতিষ্ঠান","https://trends.google.com/trends/explore?q=%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%A0%E0%A6%BE%E0%A6%A8&geo=BD&hl=en-US"
"egypt national football team vs angola national football team standings","2K+","September 25, 2026 at 9:20:00 PM UTC","September 26, 2026 at 9:10:00 AM UTC","egypt national football team vs angola national football team standings","https://trends.google.com/trends/explore?q=egypt%20national%20football%20team%20vs%20angola%20national%20football%20team%20standings&geo=BD&hl=en-US"
"logroño vs barcelona","500+","September 26, 2026 at 2:30:00 PM UTC","September 26, 2026 at 5:10:00 PM UTC","logroño vs barcelona","https://trends.google.com/trends/explore?q=logro%C3%B1o%20vs%20barcelona&geo=BD&hl=en-US"
"iceland vs estonia","200+","September 26, 2026 at 5:00:00 PM UTC","September 26, 2026 at 6:30:00 PM UTC","iceland vs estonia","https://trends.google.com/trends/explore?q=iceland%20vs%20estonia&geo=BD&hl=en-US"
"afghanistan vs japan","20K+","September 23, 2026 at 11:50:00 PM UTC","September 24, 2026 at 3:40:00 PM UTC","afghanistan vs japan,arab gul,darwish rasooli","https://trends.google.com/trends/explore?q=afghanistan%20vs%20japan&geo=BD&hl=en-US"
"আয়কর","1K+","September 26, 2026 at 7:10:00 AM UTC","September 26, 2026 at 6:00:00 PM UTC","আয়কর","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%AF%E0%A6%BC%E0%A6%95%E0%A6%B0&geo=BD&hl=en-US"
"ব্রাজিল বনাম অস্ট্রেলিয়া","10K+","September 25, 2026 at 10:00:00 AM UTC","September 26, 2026 at 4:30:00 AM UTC","ব্রাজিল বনাম অস্ট্রেলিয়া,অস্ট্রেলিয়া বনাম ব্রাজিল,ব্রাজিল,ব্রাজিলের খেলা,বাংলাদেশ বনাম অস্ট্রেলিয়া,ব্রাজিল জাতীয় ফুটবল দল,ব্রাজিল বনাম অস্ট্রেলিয়া খেলা,ব্রাজিল বনাম,ব্রাজিল vs অস্ট্রেলিয়া","https://trends.google.com/trends/explore?q=%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%B2%20%E0%A6%AC%E0%A6%A8%E0%A6%BE%E0%A6%AE%20%E0%A6%85%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE&geo=BD&hl=en-US"
"greenland","10K+","September 23, 2026 at 7:00:00 PM UTC","September 25, 2026 at 8:00:00 AM UTC","greenland","https://trends.google.com/trends/explore?q=greenland&geo=BD&hl=en-US"
"egypt vs angola","5K+","September 25, 2026 at 6:10:00 PM UTC","September 26, 2026 at 4:00:00 AM UTC","egypt vs angola,egypt national football team","https://trends.google.com/trends/explore?q=egypt%20vs%20angola&geo=BD&hl=en-US"
"asean cup football","2K+","September 26, 2026 at 1:30:00 AM UTC","September 26, 2026 at 4:00:00 PM UTC","asean cup football,fifa asian cup 2026","https://trends.google.com/trends/explore?q=asean%20cup%20football&geo=BD&hl=en-US"
"india vs panama","2K+","September 25, 2026 at 2:10:00 PM UTC","September 26, 2026 at 5:40:00 AM UTC","india vs panama","https://trends.google.com/trends/explore?q=india%20vs%20panama&geo=BD&hl=en-US"
"weather tomorrow","20K+","September 25, 2026 at 3:20:00 PM UTC","September 25, 2026 at 5:50:00 PM UTC","weather tomorrow","https://trends.google.com/trends/explore?q=weather%20tomorrow&geo=BD&hl=en-US"
"netherlands national football team vs germany national football team standings","10K+","September 24, 2026 at 9:10:00 PM UTC","September 25, 2026 at 8:50:00 AM UTC","netherlands national football team vs germany national football team standings,germany national football team,germany,karim adeyemi,netherlands national football team,felix nmecha,nadiem amiri,cody gakpo","https://trends.google.com/trends/explore?q=netherlands%20national%20football%20team%20vs%20germany%20national%20football%20team%20standings&geo=BD&hl=en-US"
"mali vs cabo verde","2K+","September 25, 2026 at 6:50:00 PM UTC","September 26, 2026 at 4:40:00 AM UTC","mali vs cabo verde","https://trends.google.com/trends/explore?q=mali%20vs%20cabo%20verde&geo=BD&hl=en-US"
"ব্যাংক","20K+","September 23, 2026 at 4:50:00 AM UTC","September 24, 2026 at 12:30:00 PM UTC","ব্যাংক,ডিজিটাল ব্যাংকিং,বাংলাদেশ ব্যাংক","https://trends.google.com/trends/explore?q=%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82%E0%A6%95&geo=BD&hl=en-US"
"france vs","2K+","September 25, 2026 at 7:00:00 PM UTC","September 26, 2026 at 5:30:00 AM UTC","france vs,france national football team,kylian mbappé","https://trends.google.com/trends/explore?q=france%20vs&geo=BD&hl=en-US"
"প্রেম","200+","September 26, 2026 at 1:20:00 PM UTC","September 26, 2026 at 6:00:00 PM UTC","প্রেম","https://trends.google.com/trends/explore?q=%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE&geo=BD&hl=en-US"
"costa rica vs curaçao","10K+","September 25, 2026 at 1:50:00 AM UTC","September 25, 2026 at 3:30:00 PM UTC","costa rica vs curaçao,costa rica national football team vs curaçao national football team standings","https://trends.google.com/trends/explore?q=costa%20rica%20vs%20cura%C3%A7ao&geo=BD&hl=en-US"
"south korea vs ecuador","10K+","September 24, 2026 at 10:20:00 AM UTC","September 25, 2026 at 3:00:00 AM UTC","south korea vs ecuador","https://trends.google.com/trends/explore?q=south%20korea%20vs%20ecuador&geo=BD&hl=en-US"
"portugal","5K+","September 24, 2026 at 6:30:00 PM UTC","September 25, 2026 at 9:20:00 AM UTC","portugal","https://trends.google.com/trends/explore?q=portugal&geo=BD&hl=en-US"
"weather tomorrow","100K+","September 24, 2026 at 3:00:00 PM UTC","September 24, 2026 at 5:30:00 PM UTC","weather tomorrow","https://trends.google.com/trends/explore?q=weather%20tomorrow&geo=BD&hl=en-US"
"motorola signature","5K+","September 23, 2026 at 12:20:00 PM UTC","September 26, 2026 at 5:50:00 PM UTC","motorola signature","https://trends.google.com/trends/explore?q=motorola%20signature&geo=BD&hl=en-US"
"এশিয়ান গেমস","200+","September 26, 2026 at 2:40:00 PM UTC","September 26, 2026 at 5:00:00 PM UTC","এশিয়ান গেমস","https://trends.google.com/trends/explore?q=%E0%A6%8F%E0%A6%B6%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%A8%20%E0%A6%97%E0%A7%87%E0%A6%AE%E0%A6%B8&geo=BD&hl=en-US"
"inter miami cf","10K+","September 21, 2026 at 12:00:00 PM UTC","September 23, 2026 at 12:20:00 PM UTC","inter miami cf","https://trends.google.com/trends/explore?q=inter%20miami%20cf&geo=BD&hl=en-US"
"sports","10K+","September 24, 2026 at 6:10:00 PM UTC","September 25, 2026 at 1:20:00 PM UTC","sports","https://trends.google.com/trends/explore?q=sports&geo=BD&hl=en-US"
"মার্কিন যুক্তরাষ্ট্র","500+","September 26, 2026 at 8:30:00 AM UTC","September 26, 2026 at 1:30:00 PM UTC","মার্কিন যুক্তরাষ্ট্র","https://trends.google.com/trends/explore?q=%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A6%BF%E0%A6%A8%20%E0%A6%AF%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0&geo=BD&hl=en-US"
"france","1K+","September 25, 2026 at 7:10:00 PM UTC","September 26, 2026 at 8:40:00 AM UTC","france","https://trends.google.com/trends/explore?q=france&geo=BD&hl=en-US"
"bangladesh","5K+","September 25, 2026 at 8:00:00 AM UTC","September 25, 2026 at 4:10:00 PM UTC","bangladesh","https://trends.google.com/trends/explore?q=bangladesh&geo=BD&hl=en-US"
"sociedad vs real madrid","1K+","September 26, 2026 at 9:50:00 AM UTC","September 26, 2026 at 12:50:00 PM UTC","sociedad vs real madrid","https://trends.google.com/trends/explore?q=sociedad%20vs%20real%20madrid&geo=BD&hl=en-US"
"পেনশন","5K+","September 23, 2026 at 8:30:00 AM UTC","September 24, 2026 at 12:10:00 PM UTC","পেনশন,কর্মচারী সুবিধা,বেতন স্কেল ২০২৬ গেজেট,পে স্কেল ২০২৬","https://trends.google.com/trends/explore?q=%E0%A6%AA%E0%A7%87%E0%A6%A8%E0%A6%B6%E0%A6%A8&geo=BD&hl=en-US"
"ভারত","5K+","September 23, 2026 at 5:10:00 PM UTC","September 25, 2026 at 3:20:00 AM UTC","ভারত","https://trends.google.com/trends/explore?q=%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4&geo=BD&hl=en-US"
"nepal national cricket team","1K+","September 25, 2026 at 7:20:00 PM UTC","September 26, 2026 at 6:30:00 AM UTC","nepal national cricket team,lalit rajbanshi","https://trends.google.com/trends/explore?q=nepal%20national%20cricket%20team&geo=BD&hl=en-US"
"cristiano ronaldo","5K+","September 24, 2026 at 6:20:00 PM UTC","September 25, 2026 at 7:00:00 AM UTC","cristiano ronaldo","https://trends.google.com/trends/explore?q=cristiano%20ronaldo&geo=BD&hl=en-US"
"algeria vs zambia","2K+","September 25, 2026 at 6:50:00 PM UTC","September 26, 2026 at 3:40:00 AM UTC","algeria vs zambia","https://trends.google.com/trends/explore?q=algeria%20vs%20zambia&geo=BD&hl=en-US"
"benjamin netanyahu","1K+","September 25, 2026 at 3:40:00 PM UTC","September 26, 2026 at 6:30:00 AM UTC","benjamin netanyahu","https://trends.google.com/trends/explore?q=benjamin%20netanyahu&geo=BD&hl=en-US"
"africa cup of nations qualification","2K+","September 24, 2026 at 5:00:00 PM UTC","September 26, 2026 at 4:30:00 AM UTC","africa cup of nations qualification","https://trends.google.com/trends/explore?q=africa%20cup%20of%20nations%20qualification&geo=BD&hl=en-US"
"চাঁদাবাজি","500+","September 26, 2026 at 3:00:00 AM UTC","September 26, 2026 at 1:50:00 PM UTC","চাঁদাবাজি","https://trends.google.com/trends/explore?q=%E0%A6%9A%E0%A6%BE%E0%A6%81%E0%A6%A6%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BF&geo=BD&hl=en-US"
"haiti vs trinidad and tobago","5K+","September 25, 2026 at 12:20:00 AM UTC","September 25, 2026 at 1:50:00 PM UTC","haiti vs trinidad and tobago","https://trends.google.com/trends/explore?q=haiti%20vs%20trinidad%20and%20tobago&geo=BD&hl=en-US"
"অ্যানথ্রাক্স","5K+","September 23, 2026 at 10:40:00 AM UTC","September 24, 2026 at 8:00:00 AM UTC","অ্যানথ্রাক্স","https://trends.google.com/trends/explore?q=%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A6%A5%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%95%E0%A7%8D%E0%A6%B8&geo=BD&hl=en-US"
"আজকের আবহাওয়ার খবর","10K+","September 21, 2026 at 2:10:00 PM UTC","September 24, 2026 at 8:50:00 AM UTC","আজকের আবহাওয়ার খবর,বৃষ্টির আবহাওয়ার খবর","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%9C%E0%A6%95%E0%A7%87%E0%A6%B0%20%E0%A6%86%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%20%E0%A6%96%E0%A6%AC%E0%A6%B0&geo=BD&hl=en-US"
"মুহাম্মদ ইউনূস","5K+","September 24, 2026 at 3:10:00 AM UTC","September 24, 2026 at 3:50:00 PM UTC","মুহাম্মদ ইউনূস","https://trends.google.com/trends/explore?q=%E0%A6%AE%E0%A7%81%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%A6%20%E0%A6%87%E0%A6%89%E0%A6%A8%E0%A7%82%E0%A6%B8&geo=BD&hl=en-US"
"জ্বালানি তেলের দাম","5K+","September 21, 2026 at 3:50:00 AM UTC","September 23, 2026 at 12:20:00 PM UTC","জ্বালানি তেলের দাম,জ্বালানি,বাংলাদেশ পেট্রোলিয়াম কর্পোরেশন","https://trends.google.com/trends/explore?q=%E0%A6%9C%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%A8%E0%A6%BF%20%E0%A6%A4%E0%A7%87%E0%A6%B2%E0%A7%87%E0%A6%B0%20%E0%A6%A6%E0%A6%BE%E0%A6%AE&geo=BD&hl=en-US"
"asian cup","5K+","September 23, 2026 at 2:10:00 PM UTC","September 25, 2026 at 1:40:00 PM UTC","asian cup","https://trends.google.com/trends/explore?q=asian%20cup&geo=BD&hl=en-US"
"saudi arabia vs kuwait","5K+","September 23, 2026 at 5:20:00 PM UTC","September 24, 2026 at 7:20:00 AM UTC","saudi arabia vs kuwait","https://trends.google.com/trends/explore?q=saudi%20arabia%20vs%20kuwait&geo=BD&hl=en-US"
"japan vs uruguay","5K+","September 24, 2026 at 10:20:00 AM UTC","September 25, 2026 at 2:00:00 PM UTC","japan vs uruguay,japan national football team","https://trends.google.com/trends/explore?q=japan%20vs%20uruguay&geo=BD&hl=en-US"
"আতলেতিকো মাদ্রিদ","5K+","September 21, 2026 at 6:40:00 AM UTC","September 23, 2026 at 12:10:00 PM UTC","আতলেতিকো মাদ্রিদ","https://trends.google.com/trends/explore?q=%E0%A6%86%E0%A6%A4%E0%A6%B2%E0%A7%87%E0%A6%A4%E0%A6%BF%E0%A6%95%E0%A7%8B%20%E0%A6%AE%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%A6&geo=BD&hl=en-US"
